occ,pre_share,post_share,pp_change,log_ratio,title,n_pre,n_post
10,0.5512672764419547,0.690809003190273,0.13954172674831833,0.22564361242450084,Chief executives,10937,19356
20,3.8509644845295425,3.563591112608808,-0.28737337192073475,-0.07755485646315317,General and operations managers,7855,16308
51,7.458797691257356,7.931026326770383,0.4722286355130274,0.06138821673742386,Marketing managers,3999,6534
52,3.027970834971167,3.312746236310976,0.2847754013398087,0.08988482029055185,Sales managers,3551,6200
60,4.886241667538106,5.4019903331846555,0.5157486656465498,0.10034403304470636,Public relations and fundraising managers,929,1814
102,0.0783867438352407,1.6475894066790384,1.5692026628437976,3.045413703668745,Facilities managers,910,1659
110,1.9675671708628142,1.3936187155183866,-0.5739484553444276,-0.34489408429058205,Computer and information systems managers,4827,7892
120,3.092933793716515,3.4304102984098237,0.3374765046933086,0.10355978627765396,Financial managers,8836,16120
136,2.0995045225423623,2.724705671037416,0.6252011484950537,0.2606590364088942,Human resources managers,1995,3553
140,3.110432502969332,2.895647625695055,-0.21478487727427664,-0.07155299409085483,Industrial production managers,1847,3610
150,1.738996838723413,2.6769222644572563,0.9379254257338434,0.4313593083113833,Purchasing managers,1523,2667
160,5.147924851672957,4.405487931587617,-0.74243692008534,-0.1557426711260639,"Transportation, storage, and distribution managers",2210,4306
205,4.486582996566246,4.209844737706301,-0.27673825885994496,-0.06366561915424342,"Farmers, ranchers, and other agricultural managers",6349,9639
220,3.7693474487572245,4.400011384298188,0.6306639355409636,0.1547052322986633,Construction managers,6731,13679
230,3.0301157804730665,2.677083699283082,-0.3530320811899843,-0.12387280004393468,Education and childcare administrators,6602,12238
300,2.0132262645399117,0.5250095081716427,-1.488216756368269,-1.3440774477516153,Architectural and engineering managers,1277,2191
310,11.376724924982431,10.992067146755199,-0.3846577782272327,-0.03439575094276836,Food service managers,7242,12364
350,2.280644949286731,3.037471650682896,0.7568267013961649,0.2865672000549526,Medical and health services managers,5538,10208
410,4.067228922661947,3.801147729563966,-0.26608119309798095,-0.06765885796007895,"Property, real estate, and community association managers",4921,8514
420,5.761415449821204,5.050956026961587,-0.7104594228596168,-0.13160564469580627,Social and community service managers,3054,5901
440,3.0370435323364733,3.135029862650189,0.09798633031371562,0.031754179651971595,440,36073,64418
520,7.427476074132485,9.315989141288277,1.8885130671557926,0.22654607932835866,"Wholesale and retail buyers, except farm products",1116,1824
530,7.340314268482999,6.252258267673694,-1.0880560008093045,-0.16043893626474126,"Purchasing agents, except wholesale, retail, and farm products",1616,3440
540,5.510548858462064,5.011493783529168,-0.4990550749328957,-0.09493019849920831,"Claims adjusters, appraisers, examiners, and investigators",2236,3924
565,3.830014572017984,4.516923098533642,0.686908526515658,0.1649624237393276,Compliance officers,2099,3756
600,5.014309467966113,6.709957698916713,1.6956482309506002,0.29129692817192493,Cost estimators,863,1595
630,9.530283481417264,6.959211698647392,-2.571071782769872,-0.31440825719432886,Human resources workers,6031,10307
650,5.391086147925658,4.460691676691531,-0.930394471234127,-0.18944303782706906,Training and development specialists,1076,1867
700,9.033634858762616,7.524894636969261,-1.5087402217933548,-0.1827380090540314,Logisticians,904,2032
705,4.517869404488315,3.8330467339737986,-0.6848226705145164,-0.16438053316989176,Project management specialists,5419,11568
710,6.833135967217101,6.415231135059653,-0.4179048321574479,-0.06310868638753239,Management analysts,6491,11665
725,10.815076155542465,13.66335864659427,2.8482824910518048,0.23377659744884388,"Meeting, convention, and event planners",866,1894
735,14.553344959078585,12.94375270544188,-1.6095922536367038,-0.11720760611360913,Market research analysts and marketing specialists,2574,5812
750,6.88160422938477,6.042940410511115,-0.8386638188736555,-0.12996108122118769,"Business operations specialists, all other",3501,7068
800,8.423211348498697,7.60027627362701,-0.8229350748716868,-0.10280655242556347,Accountants and auditors,10335,18297
845,10.148895899081497,12.440125930720681,2.2912300316391843,0.2035622891527026,Financial and investment analysts,2254,4074
850,7.925884796265901,6.901559914332846,-1.0243248819330555,-0.1383864991546791,Personal financial advisors,3313,5744
910,6.565788987118889,3.8188722340545302,-2.746916753064359,-0.5419175290158332,Credit counselors and loan officers,2880,3974
1006,7.104823370881237,8.514540828814914,1.4097174579336764,0.1810014862766437,Computer systems analysts,3018,5788
1007,7.805600644051908,8.457004476341863,0.6514038322899554,0.08015352278294771,Information security analysts,1054,2678
1010,4.83466377147208,7.173210790642279,2.338547019170199,0.394541777446973,Computer programmers,2701,3844
1021,8.142938839036711,8.322025333448355,0.17908649441164393,0.02175450311690234,Software developers & QA testers,12811,23668
1050,8.721993758580334,7.502515987013222,-1.219477771567112,-0.15060942460372945,Computer support specialists,4478,7042
1065,5.9283529011765825,2.8766527719800985,-3.051700129196484,-0.7231190311783059,Database administrators and architects,838,1548
1105,4.417793027982307,3.16641050608016,-1.2513825219021468,-0.3330416426046696,Network and computer systems administrators,1393,1950
1108,7.187710503857284,5.5599001065350775,-1.6278103973222064,-0.25679255153721914,"Computer occupations, all other",5759,12432
1220,8.88134139845373,4.5066399956067755,-4.374701402846954,-0.6784007401857339,Operations research analysts,1083,2032
1240,11.520526048350856,9.202608174916127,-2.3179178734347285,-0.2246433769937972,Other mathematical science occupations,2105,5395
1305,3.8531647832803446,4.418022387078556,0.5648576037982118,0.1367973399716487,"Architects, except landscape and naval",1220,2369
1320,9.662555452579738,12.623052804626703,2.960497352046964,0.26726657712482765,Aerospace engineers,936,1732
1360,9.698847793585388,11.957622179798117,2.2587743862127283,0.209361820070648,Civil engineers,3124,5863
1410,5.1468498178559505,7.355540818703206,2.2086910008472556,0.3570690404388566,Electrical and electronics engineers,1935,2972
1430,6.7706783199189875,12.119161455643361,5.348483135724374,0.5821865145486637,"Industrial engineers, including health and safety",1434,3038
1460,11.827382110703315,9.48011425555784,-2.347267855145475,-0.22122099261587722,Mechanical engineers,2331,4278
1530,7.071193777417453,7.845141947432242,0.7739481700147888,0.10386516324698557,1530,4183,7418
1555,8.406143234137135,6.914731955368851,-1.4914112787682834,-0.1953085743653181,"Other engineering technologists and technicians, except drafters",2192,4084
1610,8.026745854725235,10.150430447077204,2.123684592351969,0.23473691582185252,Biological scientists,905,1530
1650,4.617878827426749,2.825681107671135,-1.7921977197556136,-0.49118603580035164,Other life scientists,930,1398
1760,9.189502460799007,7.670174554459469,-1.5193279063395382,-0.18072242250877024,"Physical scientists, all other",2736,4685
1825,2.337913029567215,3.2763881497168974,0.9384751201496826,0.33748297807919553,Other psychologists,840,1448
1970,18.976676851934748,21.41920816380451,2.442531311869761,0.12107740617303944,1970,1854,3769
2001,12.678764974282302,13.201191888624747,0.5224269143424447,0.0403785753479078,Substance abuse and behavioral disorder counselors,870,1726
2002,5.88196357761254,7.546639869768238,1.664676292155698,0.24921176589957197,"Educational, guidance, and career counselors and advisors",2573,4152
2004,2.8557572708260226,3.9420102115305604,1.0862529407045378,0.3223537475122766,Mental health counselors,1420,2485
2006,9.34030442111876,8.011540120836495,-1.3287643002822644,-0.15345582761817983,"Counselors, all other",1481,2762
2014,7.576204417611623,5.790920130334457,-1.7852842872771664,-0.26872114166594396,"Social workers, all other",4634,7534
2016,6.832244675413279,8.670324410174167,1.8380797347608882,0.23825293865327332,Social and human service assistants,1466,2742
2040,3.644571012504834,3.1487984172341394,-0.4957725952706946,-0.14621774127297,Clergy,2544,4131
2100,0.8243384866896087,0.9951630417557265,0.1708245550661177,0.1883253544178935,"Lawyers, and judges, magistrates, and other judicial workers",8051,13954
2145,9.42733980098068,11.868525790559397,2.4411859895787167,0.23027604739261034,Paralegals and legal assistants,2758,4795
2205,2.9259303491277313,2.5931076971745877,-0.33282265195314364,-0.12075545868269892,Postsecondary teachers,7288,11436
2300,12.582555364834874,13.471644531237223,0.8890891664023481,0.06827571160188059,Preschool and kindergarten teachers,4166,7065
2310,5.951823318161171,6.762466408743191,0.8106430905820199,0.1276900642349757,Elementary and middle school teachers,22938,40437
