,index_now_vs_feb2020,log_change_since_pre,pct_change_since_pre,rank_worst,soc_matched,exposure_gpt4,exposure_human
Software Development,74.18891039426524,-0.7722183337979516,-53.80129108242665,1,4/4,0.8777664233754222,0.48867422572736186
Accounting,92.12048028673836,-0.7571389754577016,-53.099365200538465,2,2/2,0.6872484805645586,0.4118021556811911
Medical Information,89.03401792114694,-0.6883382470828732,-49.758974252246205,3,3/3,0.656100069050085,0.5971457810001151
Media & Communications,67.62682795698925,-0.6873882265412856,-49.7112215663307,4,4/4,0.6420920431048289,0.74074680101516
Scientific Research & Development,78.17891397849462,-0.6838306597925525,-49.531997268164865,5,4/4,0.46605448280378425,0.437502130046024
Childcare,89.30945161290322,-0.5977680403668648,-44.99620704783822,6,1/1,0.1414312039312039,0.3404484029484029
Human Resources,93.69794982078854,-0.5942413571813985,-44.801883638955616,7,2/2,0.6151112509944834,0.5641142322588542
Administrative Assistance,94.51074910394266,-0.5687315923669871,-43.37567893999075,8,3/3,0.5911037973087129,0.5386940992790322
Marketing,75.08325806451613,-0.5624472352083982,-43.01871100038851,9,2/2,0.5174222595314999,0.5529269403410596
Architecture,89.70065232974912,-0.5491552958093582,-42.256263180482065,10,1/1,0.4883720930232558,0.4302325581395348
Nursing,102.76025448028673,-0.49173447923187474,-38.843527258755,11,2/2,0.3579797756978947,0.3204851767070612
Cleaning & Sanitation,98.14978853046595,-0.4767666660648118,-37.92126368461873,12,2/2,0.0,0.03598000891922907
Arts & Entertainment,81.7240394265233,-0.46634377913669045,-37.27084027885947,13,3/3,0.45699052341538,0.3804780516605086
Community & Social Service,103.0143082437276,-0.45276118593851233,-36.4130029814502,14,2/3,0.32337787962712383,0.3402603683849905
Production & Manufacturing,117.54544802867383,-0.4442686975399752,-35.87069161989312,15,2/3,0.3463765006202114,0.19504366238351314
Driving,83.2008422939068,-0.4406149085114519,-35.63594806597174,16,3/3,0.3123505934031103,0.1914129126484759
Industrial Engineering,110.67086021505376,-0.43726265267377595,-35.41982124333386,17,1/1,0.554355036527489,0.520044259585133
Hospitality & Tourism,84.31693548387098,-0.4364204321951428,-35.365407583338275,18,2/2,0.3311289176951079,0.3545914123167075
Loading & Stocking,107.84993906810035,-0.436074214628702,-35.34302607783227,19,2/2,0.11066321061585663,0.11469456757838367
Logistic Support,110.57936917562724,-0.4352851122269987,-35.29198496874107,20,3/3,0.5299398110083033,0.434718875375906
Medical Technician,119.17356989247311,-0.41463659399928154,-33.9419704065647,21,2/3,0.2740108578481659,0.19296780097635957
Banking & Finance,102.93717204301076,-0.4115152766565382,-33.73546020889908,22,4/4,0.5570796300127298,0.5005798075007125
Project Management,110.4458458781362,-0.3846732107867954,-31.932696353035787,23,1/1,0.55,0.4
Retail,87.96218637992831,-0.384622919733812,-31.929273090582626,24,2/2,0.27899702415695393,0.3577351396067552
Customer Service,87.93559856630823,-0.3658915318836202,-30.64219717679,26,1/1,0.5681818181818182,0.7045454545454546
Education & Instruction,113.32958781362008,-0.3643863077756224,-30.537719528491508,27,2/3,0.3204445143089557,0.3238392479225877
Dental,115.77042652329749,-0.36374234626006174,-30.49297408746004,28,3/3,0.23948395107628356,0.11966285105531087
Food Preparation & Service,93.78294982078853,-0.35967781729648873,-30.20988584701781,29,3/3,0.1237245987152611,0.1508205011501224
Construction,119.65039784946237,-0.35647781501598885,-29.98619961522515,30,3/3,0.18595285417254095,0.10515685856481
Security & Public Safety,112.94055197132616,-0.3293807437305558,-28.063093066460016,31,2/2,0.2346297622924999,0.24901721886191777
Installation & Maintenance,112.45209677419355,-0.3227875307586965,-27.58723071141257,32,3/3,0.11792551793543184,0.08612204922300973
Management,100.08111111111111,-0.32118747087244337,-27.47127319927902,33,1/1,0.4807692307692308,0.3846153846153846
Legal,117.71286021505377,-0.31266386488565967,-26.850424734271694,34,2/2,0.4578050171037628,0.46679874572405927
Civil Engineering,144.44055555555556,-0.29864280606847693,-25.81756627315851,35,1/1,0.48214285714285715,0.4545454545454545
Sales,90.39031182795698,-0.29343663168585277,-25.43035251045767,36,2/2,0.6264795948448949,0.6426808571748011
Pharmacy,133.68541218637992,-0.2831998124689319,-24.663075974833852,37,2/2,0.4273482326149132,0.41541226905209333
Electrical Engineering,135.62451612903226,-0.2596351475560539,-22.866704281454787,38,2/2,0.5837645141144566,0.4216005231069405
Insurance,126.30998924731182,-0.23310161767075055,-20.792691918689407,39,4/4,0.6154598051445714,0.5125509004458351
Personal Care & Home Health,143.78085304659498,-0.20656064617445846,-18.66230682381566,40,0/2,,
Therapy,170.86575268817205,-0.05227306044249591,-5.093032192885386,41,3/3,0.29658853210328356,0.35587283680911685
Physicians & Surgeons,181.17727598566307,-0.012919096433327226,-1.2836003122072164,42,1/2,0.4375,0.375
